[MAP]
#x	y	width	height
0	1040	256	224
[GRID]
#grid_width	grid_height
256	224
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = arrow, 17 = Gate, 18 = ladder, 19 = magma
#object type: 80 = Gatex, 81 = gateY, 82 = gateOver, 83 = Chong, 84 = unk
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id
[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	24	1048	0	110
15	40	1048	0	77
15	56	1048	0	77
15	72	1048	0	77
15	88	1048	0	77
15	104	1048	0	77
81	128	1048	0	190	189	-1	-1	-1
15	152	1048	0	77
15	168	1048	0	77
15	184	1048	0	77
15	200	1048	0	77
15	216	1048	0	89
15	232	1048	0	109
15	24	1064	0	98
15	232	1064	0	97
15	24	1080	0	110
15	232	1080	0	109
15	24	1096	0	98
15	232	1096	0	97
15	24	1112	0	110
15	232	1112	0	70
15	24	1128	0	98
15	232	1128	0	82
15	24	1144	0	110
80	232	1144	0	189
15	24	1160	0	98
15	232	1160	0	97
15	24	1176	0	110
15	232	1176	0	109
15	24	1192	0	98
15	232	1192	0	97
15	24	1208	0	110
15	232	1208	0	109
15	24	1224	0	98
15	232	1224	0	97
15	24	1240	0	110
15	232	1240	0	109
15	24	1256	0	98
15	40	1256	0	97
15	56	1256	0	98
15	72	1256	0	97
15	88	1256	0	98
15	104	1256	0	97
15	120	1256	0	98
15	136	1256	0	97
15	152	1256	0	98
15	168	1256	0	97
15	184	1256	0	98
15	200	1256	0	97
15	216	1256	0	98
15	232	1256	0	97
